"Label (Grouping)","Baldwin County, Alabama!!Estimate","Baldwin County, Alabama!!Margin of Error","Mobile County, Alabama!!Estimate","Mobile County, Alabama!!Margin of Error"
"Total:","105,959","±3,520","161,526","±3,231"
"    No vehicle available","4,309","±1,361","9,730","±1,546"
"    1 vehicle available","29,201","±3,179","55,482","±3,310"
"    2 vehicles available","45,329","±3,988","58,559","±3,926"
"    3 vehicles available","17,532","±2,404","25,880","±2,276"
"    4 or more vehicles available","9,588","±1,673","11,875","±2,176"
"    1-person household:","29,297","±3,366","52,177","±3,238"
"        No vehicle available","2,885","±1,147","6,672","±1,438"
"        1 vehicle available","19,187","±2,622","33,283","±2,826"
"        2 vehicles available","5,907","±1,710","9,232","±1,701"
"        3 vehicles available","593","±409","2,308","±934"
"        4 or more vehicles available","725","±700","682","±488"
"    2-person household:","38,172","±3,246","55,459","±3,710"
"        No vehicle available","836","±658","1,743","±791"
"        1 vehicle available","6,707","±1,650","11,858","±1,781"
"        2 vehicles available","22,770","±2,546","29,043","±2,740"
"        3 vehicles available","5,701","±1,331","9,438","±1,380"
"        4 or more vehicles available","2,158","±837","3,377","±1,144"
"    3-person household:","12,741","±2,319","23,235","±2,609"
"        No vehicle available","113","±123","448","±393"
"        1 vehicle available","1,219","±695","6,569","±1,540"
"        2 vehicles available","6,296","±1,834","8,988","±1,780"
"        3 vehicles available","3,569","±998","5,698","±1,397"
"        4 or more vehicles available","1,544","±848","1,532","±631"
"    4-or-more-person household:","25,749","±2,869","30,655","±2,757"
"        No vehicle available","475","±479","867","±549"
"        1 vehicle available","2,088","±1,265","3,772","±1,105"
"        2 vehicles available","10,356","±2,084","11,296","±1,830"
"        3 vehicles available","7,669","±2,151","8,436","±1,437"
"        4 or more vehicles available","5,161","±1,455","6,284","±1,392"
