county,year,ZCTA,pct_no_vehicle,pct_1_vehicle,pct_2_vehicles,pct_3plus_vehicles,pct_sum_check,Total,Avg_min_num_cars_owned
Baldwin,2020,36480,0,3.2,29,67.7,99.9,555,2.643
Baldwin,2020,36502,3.4,24.3,44.5,27.8,100,"5,147",1.967
Baldwin,2020,36507,3.9,15.1,37.5,43.5,100,"8,649",2.206
Baldwin,2020,36511,0,0,69.1,30.9,100,97,2.309
Baldwin,2020,36526,1.8,13.7,51.9,32.6,100,"15,999",2.153
Baldwin,2020,36527,1.7,13.8,47.8,36.7,100,"7,208",2.195
Baldwin,2020,36530,0.1,19.9,40.1,39.9,100,"2,762",2.198
Baldwin,2020,36532,0.8,10.3,52.4,36.5,100,"15,408",2.246
Baldwin,2020,36535,0.4,19.2,41.8,38.5,99.9,"15,363",2.183
Baldwin,2020,36542,0.4,28.7,43.6,27.3,100,"7,360",1.978
Baldwin,2020,36549,2.2,22.5,30.6,44.7,100,"2,058",2.178
Baldwin,2020,36550,0,0,62.1,37.9,100,103,2.379
Baldwin,2020,36551,0,12,37.7,50.3,100,"5,283",2.383
Baldwin,2020,36555,2,3.8,33,61.3,100.1,400,2.537
Baldwin,2020,36559,0,51.6,0,48.4,100,31,1.968
Baldwin,2020,36561,1.6,21,40.8,36.6,100,"3,292",2.124
Baldwin,2020,36562,0,7.6,36.3,56.1,100,485,2.485
Baldwin,2020,36564,0,0,0,100,100,100,3
Baldwin,2020,36567,0.8,17.4,41.3,40.5,100,"5,872",2.215
Baldwin,2020,36574,3.5,4.7,60.5,31.4,100.1,344,2.199
Baldwin,2020,36576,3.5,22.1,41.2,33.2,100,"2,070",2.041
Baldwin,2020,36578,0,6.3,71.5,22.2,100,"1,115",2.159
Baldwin,2020,36579,0,14.1,50.8,35.1,100,504,2.21
Baldwin,2020,36580,6.3,10.7,40.6,42.4,100,"2,261",2.191
Mobile,2020,36505,0,3.3,49.2,47.5,100,421,2.442
Mobile,2020,36509,0.4,27.3,41.1,31.2,100,689,2.031
Mobile,2020,36512,,,,,,,
Mobile,2020,36513,0,10.1,0,89.9,100,189,2.798
Mobile,2020,36521,0.9,4.4,50.6,44.1,100,"2,885",2.379
Mobile,2020,36522,1,26.6,37.3,35.1,100,"2,317",2.065
Mobile,2020,36523,0,31.9,35,33.1,100,987,2.012
Mobile,2020,36525,0,21.1,44.7,34.3,100.1,674,2.134
Mobile,2020,36528,0,13.3,48.9,37.9,100.1,573,2.248
Mobile,2020,36541,0.3,10.8,42.9,46.1,100.1,"6,342",2.349
Mobile,2020,36544,4.4,13.8,39.4,42.4,100,"4,681",2.198
Mobile,2020,36560,1.6,7.5,27.2,63.7,100,"1,245",2.53
Mobile,2020,36568,0,0,0,100,100,53,3
Mobile,2020,36571,1.3,12.2,41.1,45.3,99.9,"6,926",2.303
Mobile,2020,36572,0.2,10.6,38.1,51.1,100,"2,785",2.401
Mobile,2020,36575,0.3,12.9,37.4,49.4,100,"9,565",2.359
Mobile,2020,36582,2.4,17.4,40.5,39.8,100.1,"9,980",2.178
Mobile,2020,36587,1.1,7.9,42,49.1,100.1,"3,871",2.392
Mobile,2020,36590,,,,,,,
Mobile,2020,36602,0.5,55.4,17.9,26.2,100,413,1.698
Mobile,2020,36603,11.6,35.8,29.9,22.7,100,"2,198",1.637
Mobile,2020,36604,4.4,26.4,49.3,19.9,100,"4,850",1.847
Mobile,2020,36605,2.7,24.6,40.4,32.3,100,"10,566",2.023
Mobile,2020,36606,4,33.2,45.4,17.5,100.1,"8,476",1.765
Mobile,2020,36607,2,36.7,42,19.3,100,"2,698",1.786
Mobile,2020,36608,2,27.3,43.5,27.1,99.9,"16,245",1.956
Mobile,2020,36609,3.6,31.8,34.9,29.7,100,"11,002",1.907
Mobile,2020,36610,4.9,35.7,37,22.4,100,"2,919",1.769
Mobile,2020,36611,1.3,27.9,40.7,30.1,100,"2,286",1.996
Mobile,2020,36612,5.4,29.8,31.3,33.5,100,"1,015",1.929
Mobile,2020,36613,0,19.1,44.2,36.7,100,"4,684",2.176
Mobile,2020,36615,,,,,,,
Mobile,2020,36616,0,100,0,0,100,8,1
Mobile,2020,36617,3.9,26.7,40,29.4,100,"4,091",1.949
Mobile,2020,36618,0.9,19.2,39.8,40.1,100,"7,246",2.191
Mobile,2020,36619,0.9,13.8,36,49.3,100,"6,218",2.337
Mobile,2020,36688,,,,,,,
Mobile,2020,36693,0.9,18,43.5,37.6,100,"9,122",2.178
Mobile,2020,36695,0.8,14.6,45.6,38.9,99.9,"24,416",2.225
