FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
997,492,ExactMatch,Exact,30,Hillcrest Baptist Church,10045 US Hwy 82,Maplesville,36750,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8417895999233,32.7324282260701
998,493,ExactMatch,Exact,50,Fairview Fire Station,9597 Co Rd 37,Clanton,35045,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.717204817609,32.7874047524091
999,491,KnownAlternateName,Exact,20,Maplesville Library,9400 AL Hwy 22,Maplesville,36750,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8715236112087,32.7885061369426
1000,502,ExactMatch,Exact,220,Isabella Fire Station,1960 Co Rd 29,Maplesville,36750,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7870326094578,32.8286506086333
1001,557,ExactMatch,Approx,5-Jan,Edwardsville Community Center,4024 Tallapoosa St,Edwardsville,0,Cleburne,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.5091045229133,33.7072063834152
1002,556,KnownAlternateName,Exact,4-Jan,Fruithurst City Hall,16201 Highway 78,Fruithurst,36262,Cleburne,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.421804499573,33.7377063931907
1003,449,ExactMatch,Exact,1-Nov,First Baptist Church of W.P.,160 White Plains Road,Anniston,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.6873079659733,33.7457490048165
1004,439,ExactMatch,Exact,1-Mar,Four Mile Methodist Church,536 Four Mile Church Road,Jacksonville,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.7749826118132,33.7602283745373
1005,437,ExactMatch,Exact,2-Jan,Eagle Point Church,301 Henry Road SW,Jacksonville,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.769525711663,33.7859545901828
1006,436,ExactMatch,Exact,1-Jan,Glenwood Meadows Meeting Room,785 Gardner Drive SE,Jacksonville,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.7511045977692,33.8109113961594
1007,438,ExactMatch,Exact,4-Jan,First Baptist Church,230 7th Street NE,Jacksonville,0,Calhoun,Alabama,AE, ,-85.7582726905802,33.8248063988196
1008,444,ExactMatch,Exact,1-Jun,Friendship Baptist Church,1153 Nisbet Lake Road,Jacksonville,0,Calhoun,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.787202189613,33.8387698406592
1009,409,ExactMatch,Exact,20,ST MOUNTAIN- HIGHLAND LAKE-ANCHOR,612 LAKESHORE DR,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4132778505865,33.8853265862802
1010,410,ExactMatch,Exact,20A,STRAIGHT MT- HIGHLAND LAKE ANCHOR,612 LAKESHORE DR,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4132778505865,33.8853265862802
1011,1007,ExactMatch,Approx,28,SLATE UNION CHURCH,420 BEASON COVE RD,STEELE,35987,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3021047593709,33.8924063920845
1012,392,ExactMatch,Exact,9,LOCUST FORK,34 TOWN HALL RD,LOCUST FORK,35097,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6168376495656,33.9062899827326
1013,393,ExactMatch,Exact,9A,LOCUST FORK COMMUNITY CENTER/TOWN HALL,34 TOWN HALL RD,LOCUST FORK,35097,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6168376495656,33.9062899827326
1014,658,WeakName,Exact, ,Good Hope City Hall,134 Town Hall Rd,Cullman,35057,Cullman,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6168300295636,33.9062937927337
1015,384,ExactMatch,Exact,1B,ALLGOOD FIRE DEPARTMENT,4535 OLD HWY 75,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5115865898691,33.9094900575121
1016,383,ExactMatch,Exact,1,ALLGOOD  FIRE DEPARTMENT,4543 OLD HWY 75,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.5114630698419,33.9096309875464
1017,411,ExactMatch,Exact,21,SUGAR CREEK-BANGOR,9780 STATE HWY 160,HAYDEN,35079,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.6955474232308,33.9300809946238
1018,1006,ExactMatch,Exact,27,GALLANT VFD,14280 GALLANT RD,GALLANT,35972,St Clair,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.2994443915768,33.9453805032958
1019,397,ExactMatch,Exact,12,ONEONTA #2,415 5TH AVE EAST,ONEONTA,35121,Blount,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.4757124119176,33.9493380672511
